OBJECTID,zones905,FREQUENCY,Age_adjusted_LCM,Female_Rate,Male_Rate,less_than_49,F49_74,beyond_74,smokrate,GDP,Health_Care_Quality,Health_care_Access,Public_Health,wind,NO2,Temp,SO2,PM25,ozone,co,rank
644,677,1,37.3,50.5,49.22,0,89.38,325.81,0.138,17,1,9,10,98.90686798,15.32763791,54.72329203,1.479886015,31.05803363,42.38209534,0.253874138,2
111,116,2,39.7,49.545,57.51,0,100.295,327.2,0.161,4,24,48,13,58.38662741,14.67831475,69.50494835,1.787084471,34.32764846,36.2323868,0.268367469,3
733,770,3,43.46666667,45.31666667,56.18,0.946666667,136.3566667,327.2566667,0.226,16,15,35,43,92.27888701,17.65709877,58.77020868,6.059786439,30.08984168,40.10906336,0.260618668,3
43,44,1,40.4,51.67,51.54,0,102.36,327.38,0.208,22,38,33,40,91.32478333,15.16469803,55.49444866,7.263713717,30.13896656,39.28010686,0.245791127,3
104,109,1,42.3,60.65,54.65,0,127.16,327.45,0.138,17,1,9,10,97.55068588,13.86840807,54.75589371,1.970875382,30.47000217,40.2238903,0.231988795,3
232,241,2,33.45,26.28,43.45,0.79,80.46,327.5,0.157,2,30,47,23,84.31311144,11.36361879,68.44867053,3.672923821,35.98110608,36.19282069,0.250611545,1
786,825,2,47.85,56.13,76.4,0,166.26,328.545,0.18,17.5,27,24.5,34.5,91.79918131,14.94412224,61.9986612,0.202363494,31.66684843,43.38154523,0.265956896,4
300,311,2,47.95,79.74,84.385,0,182.33,328.72,0.223,34,44,40,49,86.26163341,13.81044543,60.68276624,8.314724527,32.54260968,38.48237338,0.249453427,4
213,220,2,47.45,49.68,89.815,0,152.11,330.615,0.188,25,33,27,39,86.34410032,13.92409118,64.13722585,1.115340663,30.74907125,38.78469563,0.269516969,4
425,448,1,41.1,45.59,58.61,0,124.87,330.66,0.188,25,33,27,39,93.35129166,15.32567651,62.18281364,0.273732665,31.52776464,42.73466174,0.266783963,3
167,173,2,43.4,48.735,64.92,0,114.275,330.885,0.211,7,23,24,42,98.02954789,16.49856424,53.17175764,1.660131888,34.22489268,40.77849032,0.222117169,3
351,369,1,40.9,71.4,68.19,3.36,126.05,330.98,0.137,9,20,13,3,102.1738554,21.35099339,58.66346795,0.696479286,28.70200484,39.52032089,0.275529376,3
737,774,1,44.1,43.34,68.17,0,124.92,331.04,0.188,25,33,27,39,85.12947083,13.4986166,65.03706055,1.180492687,31.44223709,37.07102331,0.271445264,3
353,371,2,44,58.45,66.665,1.865,134.155,331.09,0.161,4,24,48,13,87.31498337,14.44185629,70.47268023,4.546015007,30.99978692,35.57421063,0.26659213,3
86,89,1,55.4,78.74,77.38,0,211.63,332.53,0.172,10,21,22,30,88.01174164,14.14824073,63.20203145,0.859133621,31.60375023,40.96840668,0.273186103,5
649,682,3,51.4,67.81,91.97,0,171.12,332.55,0.155,5,46,18,14,97.12237411,15.84398408,49.99936193,1.911082971,35.31109753,39.04545001,0.256714018,5
712,747,2,50.55,52.015,96.115,0,175.73,332.95,0.188,25,33,27,39,89.12865423,15.26240432,63.3599612,1.260195213,33.34465383,41.4361887,0.266502352,4
402,424,1,66.4,89.9,116.45,0,239.11,332.99,0.226,16,15,35,43,102.2348499,14.60560951,59.4982338,1.233706117,30.04017162,41.03564453,0.27165092,5
727,763,1,45.5,49.58,62.79,0,139.6,333.39,0.175,8,39,42,29,98.66612625,17.1320343,63.65772629,0.979668587,38.04733086,42.220438,0.279246271,4
523,551,2,42.9,54.535,57.55,0,90.26,333.895,0.218,19,41,39,41,92.90976715,17.56114873,50.24581496,4.065425118,34.66497898,35.41308372,0.254518663,3
734,771,1,34.8,0,59.42,0,0,333.94,0.145,20,25,21,8,100.3321773,12.18644772,34.91650772,1.374187044,22.75120653,33.10729504,0.260995446,2
