OBJECTID,zones455,FREQUENCY,Age_adjusted_LCM,Female_Rate,Male_Rate,less_than_49,F49_74,beyond_74,smokrate,GDP,Health_Care_Quality,Health_care_Access,Public_Health,wind,NO2,Temp,SO2,PM25,ozone,co
432,441,1,31.4,36.64,31.12,0,84.12,291.29,0.135,11,17,11,9,100.6280503,19.44896763,53.66030837,4.044544162,31.65737878,33.05951211,0.234584334
433,442,4,50.075,70.79,91.8025,0,163.0525,267.585,0.226,16,15,35,43,98.9420887,16.3332312,58.44080258,2.629921381,29.32843539,40.90211725,0.273137547
434,443,2,38.4,35.28,47.235,0,99.195,340.685,0.157,2,30,47,23,94.58109602,16.71384963,58.79411126,2.126538336,24.01018159,43.18481223,0.271580418
435,444,3,57.96666667,73.65333333,97.44666667,0,208.47,418.5,0.226,16,15,35,43,89.48562342,16.90792093,58.63384641,21.20834462,29.40298974,39.23903137,0.268657089
436,445,3,36.13333333,47.66,67.56333333,0,104.3733333,302.4133333,0.188,25,33,27,39,94.42002795,13.21731667,66.29074988,3.535047868,29.01967148,35.75806155,0.267988916
437,446,4,32.8,34.2175,29.1825,0,91.0475,227.9525,0.1415,14.25,16,15.75,11.5,102.7169911,18.3622272,55.08144538,4.058879926,30.41302831,33.57808315,0.233257659
438,447,1,53.9,152.75,0,0,,424.99,0.145,20,25,21,8,98.37197838,13.3725499,34.3705637,1.383522457,22.06894398,33.7903162,0.253806316
439,448,4,50.125,58.085,73.3825,0,176.1175,177.8575,0.201,30,48,49,44,82.52531897,12.68416145,61.60443785,4.251113619,33.43900607,40.02181039,0.266202149
440,449,3,32.5,44.38,48.74333333,2.21,94.07333333,264.1466667,0.161,4,24,48,13,88.0265071,12.39748157,72.5703619,1.382819006,28.73368559,35.23858059,0.26076495
441,450,3,48.1,53.56333333,67.14,0,146.22,224.2366667,0.231,26,42,29,45,84.63706758,8.716468849,68.84053018,4.34367213,34.36536524,35.12271796,0.276129967
442,451,3,55.3,57.89,92.40333333,0,174.9,298.5833333,0.208,22,38,33,40,92.13704361,15.22500227,54.85362182,6.416557579,30.38379195,39.19900092,0.247536464
443,452,3,28.7,36.85666667,32.86666667,1.653333333,72.03666667,153.1633333,0.138333333,7,22,10.33333333,5.333333333,100.7440854,21.61335542,55.18670754,0.571176914,29.41197895,35.97689656,0.275331023
444,453,3,35.93333333,51.28666667,55.79666667,1.166666667,113.6533333,266.9366667,0.211,7,23,24,42,97.16111422,15.57284703,50.89398883,2.749734035,31.55144687,39.2644609,0.218541979
445,454,4,49.45,51.0725,67.635,0,114.52,424.905,0.222,36,50,45,46,72.55897424,13.41195083,68.52611882,3.221072031,35.20357096,36.81436634,0.27409122
