OBJECTID,zones455,rank,Age_adjusted_LCM,Female_Rate,Male_Rate,less_than_49,F49_74,beyond_74,smokrate,GDP,Health_Care_Quality,Health_care_Access,Public_Health,wind,NO2,Temp,SO2,PM25,ozone,co
427,436,3,0.05373906,-0.013603129,-0.6112051,-0.242921109,-1.069747693,-0.068984009,2.663771753,1.93692713,1.753031591,0.382807937,1.669373568,0.389027096,-0.396511497,0.141991575,0.043004229,-0.095417599,0.3775391,-1.197307512
428,437,4,0.501433409,-0.10203531,-0.160852467,0.55540621,-0.135756393,-0.206038423,-1.233804813,-1.204433861,-0.070306707,-1.551383164,-1.361678411,-0.67005802,-1.055364416,-0.910111405,-0.69279832,-1.081131177,-0.997634893,-1.258473811
429,438,4,0.26266309,0.063442642,-0.6112051,-0.242921109,0.216327643,-0.421080204,-0.775266394,-1.039099072,1.515204857,-0.620105968,-1.058573213,0.209093413,0.292250787,-0.066647119,2.585052808,0.054823407,0.901612972,0.021477101
430,439,1,-1.652473846,0.863065242,0.73633442,0.593198314,0.21692032,1.147212308,-1.348439418,-0.791096889,-0.050487812,-1.605110695,-1.43745471,0.906166911,2.352711322,-0.296992382,-0.897968279,-0.169443024,0.291818779,1.34050096
431,440,3,0.071149396,-0.240751788,-0.22624245,-0.242921109,-0.014765606,-0.232826926,-0.218469741,-0.6257621,-0.466684597,-0.333559138,0.153847579,-0.991570585,-0.24174278,0.710962369,0.001742534,-0.561799495,0.996834522,-0.798027492
432,441,1,-1.070471193,-0.308149792,-0.409376558,-0.242921109,-0.499964908,-0.166634187,-1.430321279,-0.543094705,-0.78378691,-1.12156292,-1.43745471,0.741292813,1.796025991,-0.218954407,0.322026869,0.34491941,-1.434972176,-0.689552998
433,442,4,0.787460354,-0.075307928,-0.01582063,-0.242921109,0.034680594,-0.187340846,1.550178448,-0.129757732,-0.942338066,0.597718059,1.138939472,0.548161318,0.605332142,0.263069737,-0.149041943,-0.182000026,1.067597438,1.099142694
434,443,2,-0.374057762,-0.317422558,-0.304862838,-0.242921109,-0.397855119,-0.123486942,-0.709760905,-1.287101256,0.246795606,1.457358549,-0.376586517,0.048597725,0.750787329,0.298694362,-0.316668293,-1.3852458,1.796003751,1.026898911
435,444,5,1.572583592,-0.05578512,0.020784574,-0.242921109,0.342313851,-0.055514417,1.550178448,-0.129757732,-0.942338066,0.597718059,1.138939472,-0.535102544,0.824952621,0.282534625,6.03756546,-0.165132232,0.536907939,0.891269593
436,445,2,-0.599563064,-0.23301312,-0.173023575,-0.242921109,-0.362779927,-0.156917795,0.305574167,0.614248818,0.484622341,0.0246244,0.835834274,0.030146939,-0.585429769,1.054591274,0.15236481,-0.251857329,-0.573867006,0.860269371
437,446,1,-0.931188507,-0.324666905,-0.421942201,-0.242921109,-0.45304182,-0.221960407,-1.217428441,-0.274425673,-0.863062488,-0.781288559,-1.248013961,0.980586673,1.380722844,-0.075659107,0.326800673,0.063387257,-1.269496533,-0.751104751
438,447,5,1.16800055,0.483512548,-0.6112051,-0.242921109,-1.069747693,-0.049845308,-1.102793836,0.200911846,-0.149582285,-0.405195845,-1.51323101,0.482853628,-0.526106634,-2.163967255,-0.564092279,-1.82444747,-1.201773121,0.202260517
439,448,4,0.792434736,-0.161933283,-0.135283411,-0.242921109,0.123175744,-0.265719112,0.731359842,1.027585791,1.673756013,1.600631964,1.214715771,-1.332424382,-0.789177632,0.582063655,0.390814415,0.74800952,0.786692157,0.777371418
440,449,1,-0.961034797,-0.255376848,-0.295080553,-0.13374392,-0.432546483,-0.19034428,-0.578749928,-1.121766467,-0.228857863,1.528995256,-1.134349512,-0.702248294,-0.898733744,1.687773634,-0.564326528,-0.316561145,-0.739633004,0.525109838
441,450,4,0.590972279,-0.192762955,-0.175769101,-0.242921109,-0.079333538,-0.225206241,1.713942169,0.696916213,1.198102544,0.167897814,1.290492071,-1.090517825,-2.305450681,1.311689308,0.421636362,0.957596689,-0.776604685,1.237977524
442,451,5,1.307283237,-0.163262834,-0.011923929,-0.242921109,0.114929066,-0.160263355,0.960629052,0.366246635,0.881000231,0.454444644,0.911610574,-0.231375137,0.18181706,-0.098630886,1.111906375,0.056772581,0.524134252,-0.088632417
443,452,1,-1.339087802,-0.306672513,-0.398048564,-0.161244057,-0.581810787,-0.287289823,-1.321145476,-0.873764283,-0.387409019,-1.169320725,-1.715301141,0.75458495,2.623157325,-0.065045372,-0.834603015,-0.163098439,-0.504036913,1.200910115
444,453,2,-0.61946059,-0.208285746,-0.249336209,-0.185286092,-0.299922292,-0.187907175,1.058887284,-0.873764283,-0.308133441,-0.190285723,1.063163172,0.344145839,0.314747629,-0.497886406,-0.109144378,0.320952498,0.545022484,-1.43384612
445,454,4,0.725280583,-0.209745979,-0.172558781,-0.242921109,-0.294051967,-0.049919557,1.419167471,1.523590158,1.832307169,1.314085134,1.36626837,-2.474096324,-0.511049377,1.279986756,0.047810984,1.147239291,-0.236800914,1.143388832
